source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
Kronos,Kronos,Kronoscope RS,305,website,292,website,Do not agree. I think he has rounding errors and trying to use Loefgren,skipped,already_in_research_targets
Kronos,Kronos,Discovery RS,305,website,292,website,Do not agree. I think he has rounding errors and trying to use Loefgren,skipped,already_in_research_targets
Kronos,Kronos,Black Beauty,308.8,website,294.8,website,Need arc! Agreed,skipped,already_in_research_targets
Kronos,Kronos,Helena,267,website,251.3,website,agreed,skipped,already_in_research_targets
Kuzma,Kuzma,4 Point,280,Kuzma website,264,Kuzma website,I calculate a 265.37mm PS dimension (Baerwald). Assuming 264mm P>S the EffLen is 278.7,skipped,already_in_research_targets
Kuzma,Kuzma,4 Point 14,353,Kuzma website,341.51,Kuzma website,,skipped,already_in_research_targets
Kuzma,Kuzma,4 Point 9,229,Kuzma website,212,Kuzma website,I calculate a 210.86mm PS dimension,skipped,already_in_research_targets
Kuzma,Kuzma,Stogi & Stogi Ref,229,Kuzma website,212,Kuzma website,I calculate a 210.86mm PS dimension (Baerwald),skipped,already_in_research_targets
Kuzma,Kuzma,Stogi Ref 313 & 313 VTA,313,Kuzma website,300,Kuzma website,,skipped,already_in_research_targets
Kuzma,Kuzma,Stogi S,229,Kuzma website,212,Kuzma website,I calculate a 210.86mm PS dimension,skipped,already_in_research_targets
Kuzma,Kuzma,Stogi S12 & S12 VTA,305,Kuzma website,291,Kuzma website,Loefgren PS dimension,skipped,already_in_research_targets
Linn,Linn,Akito,229,https://docs.linn.co.uk/wiki/images/3/3b/Akito_info.pdf,211,https://docs.linn.co.uk/wiki/images/3/3b/Akito_info.pdf,210.86mm PS calculated,skipped,already_in_research_targets
Linn,Linn,Basik,230,https://docs.linn.co.uk/wiki/images/7/72/Basik_arm_info.PDF,212,https://docs.linn.co.uk/wiki/images/7/72/Basik_arm_info.PDF,,skipped,already_in_research_targets
Linn,Linn,Ekos,229,manual on vinylengine,210.86,calculated,,skipped,already_in_research_targets
Linn,Linn,Ittok LVII,229,https://docs.linn.co.uk/wiki/images/3/36/Ittok_info.pdf,210.86,calculated,,skipped,already_in_research_targets
Luxman/SAEC,Saec,PD-191A turntable,NEED!,Luxman website,240,Luxman website,agreed,skipped,filtered_non_tonearm_row
Micro Seiki,Micro Seiki,MA202,239.3,VinylEngine.com,222,VinylEngine.com,WRONG calcs by Micro Seiki,skipped,already_in_research_targets
Micro Seiki,Micro Seiki,MA505,239.3,VinylEngine.com,222,VinylEngine.com,WRONG calcs by Micro Seiki,skipped,already_in_research_targets
Mitchell,Michell,T2,239.3,calculated,222,Michell website,Michell says 237mm eff len! DISAGREE! HAVE USER MEASURE P-S,skipped,already_in_research_targets
Mitchell,Michell,T3,239.3,calculated,222,Michell website,Michell says 237mm eff len! DISAGREE! HAVE USER MEASURE P-S,skipped,already_in_research_targets
Mitchell,Michell,Technoarm 2,239.3,calculated,222,Michell website,Michell says 237mm eff len! DISAGREE! HAVE USER MEASURE P-S,skipped,already_in_research_targets
Mørch,Moerch,DP-6/DP-8/UP-4,230,Moerch website,212,Moerch website,agreed,skipped,already_in_research_targets
Mørch,Moerch,"DP-6/DP-8/UP-4 12""",307.4,Moerch website,294.1,Moerch website,agreed,skipped,already_in_research_targets
Music Hall,Music Hall,2.5,218.5,website,199.41,calculated,,skipped,filtered_non_tonearm_row
Music Hall,Music Hall,3.3,218.5,manual,199.41,calculated,,skipped,filtered_non_tonearm_row
Music Hall,Music Hall,5.3,230,website,211.95,calculated,,skipped,filtered_non_tonearm_row
Music Hall,Music Hall,7.3,230,website,211.95,calculated,,skipped,filtered_non_tonearm_row
Naim,Naim,Aro,230,Previously owned,211.95,calculated,,skipped,already_in_tonearm_models
Nottingham,Nottingham Analogue,"Ace Anna 10""",239.3,calculated,222,Nottingham website,Have user check P>S distance. Nottingham figures not agreeing with mine.,skipped,already_in_research_targets
Nottingham,Nottingham Analogue,"Ace Anna 12""",308.8,calculated,294,Nottingham website,Have user check P>S distance. Nottingham figures not agreeing with mine.,skipped,already_in_research_targets
Nottingham,Nottingham Analogue,"Ace Space 10""",239.3,calculated,222,Nottingham website,Have user check P>S distance. Nottingham figures not agreeing with mine.,skipped,already_in_research_targets
Nottingham,Nottingham Analogue,"Ace Space 12""",308.8,calculated,294,Nottingham website,Have user check P>S distance. Nottingham figures not agreeing with mine.,skipped,already_in_research_targets
Nottingham,Nottingham Analogue,Innerspace,239.3,calculated,222,Nottingham website,Have user check P>S distance. Nottingham figures not agreeing with mine.,skipped,already_in_research_targets
Origin Live,Origin Live,Alliance,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Onyx,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Silver,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Zephyr,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Encounter,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Illustrious,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Conquerer,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Enterprise,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,Agile,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
